,Status,City
852,current,Serut
853,current,Tanggung
854,current,Nganggrek
855,current,Tegalrejo
856,current,Panggunguni
857,current,Mirigambar
858,current,Jengglungharjo
859,current,Gendingan
860,current,Karangwaru
861,current,Ngluweng Dua
862,city not found,Kundung
863,current,Tunggangri
864,current,Kauman
865,current,Ngunggahan
866,current,Bebekan
867,current,Gondang
868,city not found,Dami
869,current,Kedungsinggil
870,city not found,Kasreman Wetan
871,current,Tekikbanyuurip
872,current,Sumberjo Kulon
873,current,Sumberbendo
874,city not found,Sanggar
875,current,Sadeng
876,current,Ringinagung
877,current,Winong
878,current,Bendorubuh
879,city not found,Kleben
880,current,Blendis
881,current,Bendungan
882,current,Bungur
883,current,Ngentrong
884,current,Suwaru
885,current,Pucung
886,current,Setonokalong
887,current,Bayanan
888,current,Ngipik
889,current,Kiping
890,current,Tenggur
891,current,Tebokan
892,current,Gedangsewu Selatan
893,current,Pagersari
894,current,Sedayugunung
895,current,Samir
896,current,Srabah
897,current,Sambi
898,current,Gesikan
899,city not found,Krajantalun Kulon
900,current,Kedungdowo
901,current,Sukowidodo Barat
902,city not found,Pabyongan
903,current,Jabalan
904,current,Ngejring
905,current,Jatidowo
906,city not found,Boneng
907,current,Mojo
908,current,Jati
909,city not found,Kedungbuntung
910,current,Karangsonojabon
911,current,Sebalor
912,current,Jepun
913,current,Ngasinan
914,current,Sambirobyong
915,current,Manding
916,current,Doropayung
917,current,Ngrance
918,current,Nglampir
919,current,Bendilmuning
920,current,Ngantru
921,current,Bago
922,current,Kalidawir
923,current,Padangan
924,current,Kaligentong
925,current,Blimbing
926,current,Blimbing
927,city not found,Krenggan
928,current,Pecuk
929,current,Karangrejo
930,current,Kedungtaman
931,current,Bangunmulyo
932,current,Glodokan
933,current,Tenggong
934,current,Sentulan
935,current,Dawuhan
936,current,Pacet
937,current,Sembon
938,current,Ngrukem
939,current,Tanggunggunung
940,current,Kalidawe
941,current,Tiang
942,success,Tulungagung
943,current,Kemiri
944,city not found,Mojasari
945,current,Ngrejo
946,current,Ngrejo
947,current,Sodo
948,current,Sawo
949,current,Keboireng
950,current,Tekik Wetan
951,current,Sukorejo
952,current,Cerme Kidul
953,current,Cangkringan
954,current,Bendo
955,current,Wajak
956,current,Salakan Lor
957,current,Genting
958,current,Pojok
959,current,Karangsono
960,current,Sidomulyo
961,current,Sanggrahan Kidul
962,current,Karangsari
963,current,Singgit
964,success,Gedangan
965,city not found,Gempolan Wetan
966,current,Wonokromo
967,current,Wates
968,current,Pelem
969,current,Selojeneng
970,current,Tambaksumber
971,current,Pucung Kidul
972,current,Kanugrahan
973,current,Dukuh
974,current,Dukuh
975,city not found,Campurjanggang
976,current,Pakisrejo
977,current,Kutoanyar
978,success,Boyolangu
979,current,Sambidoplang
980,current,Tertek
981,current,Karanggayam
982,current,Temenggungan
983,city not found,Ngayem
984,current,Pucangan
985,success,Purwodadi
986,success,Welahan
987,current,Mergayu
988,current,Pulerejo
989,city not found,Nglempung
990,current,Tamanan
991,current,Tamanan
992,current,Bagusan
993,current,Pucanglaban
994,current,Demuk
995,current,Tugu
996,current,Simo Satu
997,current,Gajah
998,current,Gondosuli
999,current,Karangtalun Lor
1000,current,Sukoanyar
1001,current,Sanan
1002,current,Boro
1003,city not found,Besuki Satu
1004,current,Campurdarat
1005,current,Gandong
1006,current,Bakalan
1007,current,Gendingsari
1008,current,Bulusari
1009,current,Balesono
1010,current,Tumpakjoho
1011,current,Setonobendo
1012,current,Kromasan
1013,current,Kalangbret
1014,city not found,Irongganan
1015,city not found,Besuki Dua
1016,city not found,Genengan Kulon
1017,current,Kajen
1018,success,Boyolali
1019,city not found,Nongkesan
1020,current,Cigeur
1021,current,Kendal
1022,success,Kuningan
1023,current,Cikondang
1024,current,Sindangsari
1025,current,Segong
1026,current,Manis Karangtengah
1027,current,Ciketak
1028,current,Jagara
1029,current,Jatisari
1030,current,Cikandang
1031,current,Sukagalih
1032,current,Ciangir
1033,current,Pakapasan Ilir
1034,current,Pakapasan Girang
1035,current,Parakan
1036,current,Garajati
1037,current,Pahing Pamulihan
1038,current,Kutaraja
1039,current,Bantarpanjang
1040,current,Cileuya
1041,current,Ciniru
1042,current,Buniaga
1043,current,Godong
1044,current,Parenca Wetan
1045,current,Karangkancana
1046,current,Pinara
1047,current,Munggang
1048,success,Margasari
1049,current,Sakerta Timur
1050,current,Bunigeulis
1051,current,Tambakbaya
1052,current,Giriwaringin
1053,current,Cibeureum Kidul
1054,current,Sindangjawa
1055,current,Sindangjawa
1056,current,Walahar
1057,current,Cibengang
1058,current,Rambatan
1059,current,Pahing Jalatrang
1060,current,Cikananga
1061,current,Margabakti
1062,current,Garahaji
1063,current,Nusaherang
1064,current,Mancagar
1065,current,Wilanagara
1066,current,Kedatuan
1067,current,Cipakem
1068,current,Cibuah
1069,current,Paninggaran
1070,success,Parung
1071,current,Windusari
1072,current,Blokdesa Situgede
1073,current,Olejet
1074,current,Kliwon Cibingbin
1075,current,Kawungsari
1076,current,Luragung
1077,current,Cilebak
1078,current,Kadugede
1079,current,Pakusari
1080,current,Citapen
1081,current,Citenjo
1082,current,Patala
1083,current,Babakan
1084,current,Girang
1085,current,Margacina
1086,current,Pakembangan
1087,current,Manis Mekarwangi
1088,current,Bungur
1089,current,Sukarapih
1090,current,Cikahuripan
1091,current,Dukuhpicung
1092,current,Rahayu
1093,current,Cineumbeuy
1094,current,Cikembang
1095,current,Andamui
1096,current,Kutamangu
1097,current,Baok
1098,current,Kaduagung
1099,current,Cimara
1100,current,Nangka
1101,current,Garawangi
1102,current,Tanjungkerta
1103,current,Karangbaru
1104,current,Randusari
1105,current,Kutamandarakan
1106,current,Sukasari
1107,current,Mungkaldatar
1108,current,Pamupukan
1109,current,Ciporang
1110,current,Cirangrang
1111,current,Wedangtemu
1112,current,Cilayung
1113,current,Manis Subang
1114,current,Pabuaran
1115,current,Cinagara
1116,current,Cilimus Kulon
1117,current,Babatan
1118,current,Cipasung
1119,current,Gewok
1120,current,Gunungmanik
1121,current,Kertayuga
1122,current,Cipetir
1123,current,Tegalgede
1124,current,Jabranti
1125,current,Sindang
1126,current,Cikadu Wetan
1127,current,Cisaat
1128,current,Citundun
1129,current,Pahing Margamukti
1130,current,Cirukem
1131,current,Dukuh Kaler
1132,current,Pasiragung
1133,current,Langseb
1134,current,Subang
1135,current,Sukaimut
1136,current,Cantilan
1137,current,Karanganyar
1138,success,Cikupa
1139,current,Cipedes
1140,current,Sindangsuka
1141,current,Cilimus
1142,current,Mandapajaya
1143,current,Cimulya
1144,current,Sakerta Barat
1145,current,Cijemit
1146,current,Tundagan
1147,current,Luragung Tonggoh
1148,current,Cibingbin
1149,current,Cigedang
1150,current,Kaliwon Kertawirama
1151,current,Sagara
1152,current,Tembong
1153,current,Gembol
1154,current,Ciakar
1155,current,Modis
1156,current,Kawahmanuk
1157,current,Ciwaru
1158,current,Gunungaci
